REGION,COUNCIL,WARD,SCHOOL NAME,ENROLMENT,ALL TEACHERS,PTR
ARUSHA,Karatu,Qurus,KINIHHE,422,17,25
ARUSHA,Karatu,Qurus,MAGESHO,181,6,30
ARUSHA,Karatu,Qurus,MENDAY,260,7,37
ARUSHA,Karatu,Qurus,NJIA PANDA,551,17,32
ARUSHA,Karatu,Qurus,QURUS,277,8,35
ARUSHA,Karatu,Qurus,GYEKRUM  LAMBO,565,11,51
ARUSHA,Karatu,Qurus,GENDAA,416,12,35
ARUSHA,Karatu,Daa,CHANGARAWE,336,7,48
ARUSHA,Karatu,Daa,ENDASHANGWET,410,8,51
ARUSHA,Karatu,Daa,MANG'OLA JUU,397,9,44
ARUSHA,Karatu,Daa,MIDABINI,156,6,26
ARUSHA,Karatu,Daa,MAKHOROMBA,381,7,54
ARUSHA,Karatu,Oldeani,GHETIGHI,436,9,48
ARUSHA,Karatu,Oldeani,MEALI,302,9,34
ARUSHA,Karatu,Oldeani,OLDEANI,584,11,53
ARUSHA,Karatu,Rhotia,AKKO,256,14,18
ARUSHA,Karatu,Rhotia,ASLIN,301,7,43
ARUSHA,Karatu,Rhotia,AYATSERE,140,5,28
ARUSHA,Karatu,Rhotia,CHEMCHEM,299,8,37
ARUSHA,Karatu,Rhotia,GILALA,242,10,24
ARUSHA,Karatu,Rhotia,HAREABI,185,8,23
ARUSHA,Karatu,Rhotia,JUHUDI,122,7,17
ARUSHA,Karatu,Rhotia,KAINAM RHOTIA,243,13,19
ARUSHA,Karatu,Rhotia,KIBAONI,627,18,35
ARUSHA,Karatu,Rhotia,KILIMAMOJA,529,15,35
ARUSHA,Karatu,Rhotia,KILIMATEMBO,344,12,29
ARUSHA,Karatu,Rhotia,MARAR,145,9,16
ARUSHA,Karatu,Rhotia,MARERA,298,9,33
ARUSHA,Karatu,Rhotia,RHOTIA,374,29,13
ARUSHA,Karatu,Rhotia,UMOJA,292,12,24
ARUSHA,Karatu,Mbulumbulu,BONDE LA FARU,155,5,31
ARUSHA,Karatu,Mbulumbulu,DIRANGW,288,7,41
ARUSHA,Karatu,Mbulumbulu,KAMBI YA SIMBA,575,13,44
ARUSHA,Karatu,Mbulumbulu,KITETE KCU,378,10,38
ARUSHA,Karatu,Mbulumbulu,KITETE WS,394,10,39
ARUSHA,Karatu,Mbulumbulu,LOSITETE,865,11,79
ARUSHA,Karatu,Mbulumbulu,MARMO,265,7,38
ARUSHA,Karatu,Mbulumbulu,MBULUMBULU,477,11,43
ARUSHA,Karatu,Mbulumbulu,SABASABA,213,6,36
ARUSHA,Karatu,Mbulumbulu,SLAHHAMO,378,8,47
ARUSHA,Karatu,Baray,DUMBECHAND,368,7,53
ARUSHA,Karatu,Baray,ENDESH,143,3,48
ARUSHA,Karatu,Baray,GIDAMILANDA,99,6,17
ARUSHA,Karatu,Baray,HAYDESH,246,7,35
ARUSHA,Karatu,Baray,MANG'OLA NT,566,10,57
ARUSHA,Karatu,Baray,MATALA,391,5,78
ARUSHA,Karatu,Baray,MBUGANYEKUNDU,723,7,103
ARUSHA,Karatu,Baray,MOHEDAGEW,84,5,17
ARUSHA,Karatu,Baray,MURUS,207,5,41
ARUSHA,Karatu,Baray,NJORO,164,4,41
ARUSHA,Karatu,Baray,QANGDEND,756,11,69
ARUSHA,Karatu,Baray,MBUYUNI,210,2,105
ARUSHA,Karatu,Mang’ola,ANTSA,597,8,75
ARUSHA,Karatu,Mang’ola,EYASI,660,14,47
ARUSHA,Karatu,Mang’ola,KISIMANGEDA,303,7,43
ARUSHA,Karatu,Mang’ola,LAGHANGARER,397,9,44
ARUSHA,Karatu,Mang’ola,MANGOLA  BARAZANI,654,15,44
ARUSHA,Karatu,Mang’ola,MANGOLA CHINI,657,12,55
ARUSHA,Karatu,Endamaghang,ENDAMAGHANG,594,15,40
ARUSHA,Karatu,Endamaghang,MIKOCHENI,279,7,40
ARUSHA,Karatu,Endabash,ENDABASH MANGISA,296,8,37
ARUSHA,Karatu,Endabash,ENDABASH,584,13,45
ARUSHA,Karatu,Endabash,ENDABASH LAJA,376,10,38
ARUSHA,Karatu,Endabash,QARU,608,9,68
ARUSHA,Karatu,Endabash,QARU LAMBO,512,12,43
ARUSHA,Karatu,Endabash,QARU SARAMAY,271,7,39
ARUSHA,Karatu,Kansay,BARAKTA,418,6,70
ARUSHA,Karatu,Kansay,ENDAGESH,320,8,40
ARUSHA,Karatu,Kansay,GEER,240,8,30
ARUSHA,Karatu,Kansay,HARAA,267,6,45
ARUSHA,Karatu,Kansay,KAMBI YA FARU,388,10,39
ARUSHA,Karatu,Kansay,KANSAY,307,10,31
ARUSHA,Karatu,Kansay,LAJA,191,6,32
ARUSHA,Karatu,Kansay,UMBANGW,529,7,76
ARUSHA,Karatu,Buger,AYALALIYO,475,11,43
ARUSHA,Karatu,Buger,BUGER,406,10,41
ARUSHA,Karatu,Buger,ENDONYAWET,517,9,57
ARUSHA,Karatu,Buger,GAMDI,314,6,52
ARUSHA,Karatu,Endamarariek,BARAY KHUSUMAY,545,10,55
ARUSHA,Karatu,Endamarariek,BASSODAWISH,438,12,37
ARUSHA,Karatu,Endamarariek,DUUMA,252,7,36
ARUSHA,Karatu,Endamarariek,SHANGIT,393,10,39
ARUSHA,Karatu,Endamarariek,GETAMOCK,522,10,52
ARUSHA,Karatu,Endamarariek,GIDBASSO,414,9,46
ARUSHA,Karatu,Endamarariek,MAHHAHA,245,7,35
ARUSHA,Karatu,Endamarariek,MASSABEDA,276,7,39
ARUSHA,Karatu,Endamarariek,MCHANGANI,291,8,36
ARUSHA,Karatu,Endamarariek,SHAURI AWAKI,273,8,34
ARUSHA,Karatu,Endamarariek,ENDALLAH,693,15,46
ARUSHA,Karatu,Endamarariek,MANUSAY,87,2,44
ARUSHA,Karatu,Endamarariek,ENDAMARARIEK,722,13,56
ARUSHA,Karatu,Karatu,BWAWANI,1039,28,37
ARUSHA,Karatu,Karatu,ENDORO,639,30,21
ARUSHA,Karatu,Karatu,GYEKRUM ARUSHA,668,29,23
ARUSHA,Karatu,Karatu,KARATU,437,22,20
ARUSHA,Karatu,Ganako,ASKOFU HHANDO,217,10,22
ARUSHA,Karatu,Ganako,AYALABE,314,16,20
ARUSHA,Karatu,Ganako,GANAKO,320,18,18
ARUSHA,Karatu,Ganako,HAYMU,374,21,18
ARUSHA,Karatu,Ganako,KAMBI YA NYOKA,284,15,19
ARUSHA,Karatu,Ganako,SUMAWE,598,28,21
ARUSHA,Karatu,Ganako,TLOMA,601,17,35
ARUSHA,Longido,Elang’atadapash,ELANG'ATADAPASH,400,8,50
ARUSHA,Longido,Elang’atadapash,NOONDOTO,634,10,63
ARUSHA,Longido,Elang’atadapash,OLCHORONYOKIE,331,5,66
ARUSHA,Longido,Elang’atadapash,SOKON,173,2,87
ARUSHA,Longido,Ketumbeine,KETUMBEINE,559,18,31
ARUSHA,Longido,Ketumbeine,LOPOLOSEKI,359,6,60
ARUSHA,Longido,Ketumbeine,MANGULA,352,9,39
ARUSHA,Longido,Ilorienito,ILORIENITO,563,8,70
ARUSHA,Longido,Ilorienito,LOSIRWA,350,7,50
ARUSHA,Longido,Gelai Meirugoi,GELAIBOMBA,367,12,31
ARUSHA,Longido,Gelai Meirugoi,MAGADINI,247,6,41
ARUSHA,Longido,Gelai Lumbwa,GELAILUMBWA,320,10,32
ARUSHA,Longido,Engarenaibor,ENGARENAIBOR,375,16,23
ARUSHA,Longido,Engarenaibor,KIMWATI,137,5,27
ARUSHA,Longido,Engarenaibor,NGOSWAK,213,9,24
ARUSHA,Longido,Engarenaibor,SINONIK,225,6,38
ARUSHA,Longido,Mundarara,KITARINI,350,8,44
ARUSHA,Longido,Mundarara,LESING'ITA,262,5,52
ARUSHA,Longido,Mundarara,MUNDARARA,356,8,45
ARUSHA,Longido,Matale A,EMURTOTO,197,4,49
ARUSHA,Longido,Matale A,IRNG'ONG'WEN,310,6,52
ARUSHA,Longido,Matale A,MATALE,204,6,34
ARUSHA,Longido,Engikaret,ENGIKARET,341,10,34
ARUSHA,Longido,Engikaret,KISERIAN,379,10,38
ARUSHA,Longido,Kimokouwa,EORENDEKE,363,14,26
ARUSHA,Longido,Kimokouwa,KIMOKOUWA,300,8,38
ARUSHA,Longido,Orbomba,OLTEPES,145,6,24
ARUSHA,Longido,Orbomba,ORBOMBA,293,13,23
ARUSHA,Longido,Orbomba,RANCH,152,6,25
ARUSHA,Longido,Longido,LONGIDO,887,37,24
ARUSHA,Longido,Olmolog,ELERAI,311,10,31
ARUSHA,Longido,Olmolog,LERANG'WA,484,14,35
ARUSHA,Longido,Olmolog,OLMOLOG,494,10,49
ARUSHA,Longido,Kamwanga,IRKASWA,679,13,52
ARUSHA,Longido,Kamwanga,KAMWANGA,605,15,40
ARUSHA,Longido,Kamwanga,KITENDENI,369,9,41
ARUSHA,Longido,Tingatinga,NGEREYANI,381,7,54
ARUSHA,Longido,Tingatinga,SINYA,922,15,61
ARUSHA,Longido,Tingatinga,TINGATINGA,304,14,22
ARUSHA,Longido,Namanga,BUGURUNI,466,13,36
ARUSHA,Longido,Namanga,NAMANGA,569,18,32
ARUSHA,Meru,Mbuguni,MIEMBENI,357,8,45
ARUSHA,Meru,Mbuguni,MIKUNGANI,442,12,37
ARUSHA,Meru,Mbuguni,TANZANITE,567,13,44
ARUSHA,Meru,Mbuguni,MBUGUNI,442,32,14
ARUSHA,Meru,Shambarai Burka,MSITU WA MBOGO,253,12,21
ARUSHA,Meru,Shambarai Burka,OLDEVES,787,14,56
ARUSHA,Meru,Maroroni,DOLLY,229,14,16
ARUSHA,Meru,Maroroni,KWA UGORO,530,12,44
ARUSHA,Meru,Maroroni,MIGANDINI,252,10,25
ARUSHA,Meru,Maroroni,NAZARETI,256,9,28
ARUSHA,Meru,Maroroni,SAMARIA,457,13,35
ARUSHA,Meru,Maroroni,SAVANA,265,13,20
ARUSHA,Meru,Maroroni,MARORONI,479,15,32
ARUSHA,Meru,Makiba,MAKIBA,645,12,54
ARUSHA,Meru,Makiba,LOSITETI,576,9,64
ARUSHA,Meru,Makiba,PATANUMBE,408,10,41
ARUSHA,Meru,Makiba,VALESKA,554,8,69
ARUSHA,Meru,Majengo,ENGATANI,334,8,42
ARUSHA,Meru,Majengo,KALOLENI,243,8,30
ARUSHA,Meru,Majengo,MAJENGO,454,11,41
ARUSHA,Meru,Kikwe,KIKWE,302,14,22
ARUSHA,Meru,Kikwe,KARANGAI,381,13,29
ARUSHA,Meru,Kikwe,MAWENI,219,11,20
ARUSHA,Meru,Kikwe,NAMBALA,363,20,18
ARUSHA,Meru,Kikwe,NGANANA,222,13,17
ARUSHA,Meru,King'ori,KING'ORI,355,10,36
ARUSHA,Meru,King'ori,KIRENGA,262,8,33
ARUSHA,Meru,King'ori,KWA TULELE,349,15,23
ARUSHA,Meru,King'ori,MAREU,215,16,13
ARUSHA,Meru,King'ori,MBORENY,208,8,26
ARUSHA,Meru,King'ori,NKOANSIYO,411,11,37
ARUSHA,Meru,King'ori,NURU,211,9,23
ARUSHA,Meru,King'ori,UPENDO,504,12,42
ARUSHA,Meru,Malula,ENGEJISOSIA,354,9,39
ARUSHA,Meru,Malula,KOLILA,205,10,21
ARUSHA,Meru,Malula,MALULA,600,20,30
ARUSHA,Meru,Malula,MIKUUNI,244,12,20
ARUSHA,Meru,Malula,NRUMANGENI,327,11,30
ARUSHA,Meru,Malula,NTUWE,269,8,34
ARUSHA,Meru,Ngarenanyuki,EMANUEL,261,9,29
ARUSHA,Meru,Ngarenanyuki,ILKIRIMUNI,111,5,22
ARUSHA,Meru,Ngarenanyuki,LENDOIYA,225,7,32
ARUSHA,Meru,Ngarenanyuki,MWAKENY,305,7,44
ARUSHA,Meru,Ngarenanyuki,NASULA,153,8,19
ARUSHA,Meru,Ngarenanyuki,OLKUG'WADO,419,7,60
ARUSHA,Meru,Ngarenanyuki,WORSEG,138,3,46
ARUSHA,Meru,Uwiro,KIMOSONU,272,9,30
ARUSHA,Meru,Uwiro,KISIMIRI CHINI,556,12,46
ARUSHA,Meru,Uwiro,KISIMIRI JUU,575,8,72
ARUSHA,Meru,Uwiro,MUKURU,129,6,22
ARUSHA,Meru,Uwiro,NGARENANYUKI,279,9,31
ARUSHA,Meru,Ngabobo,MASAI VISION,143,6,24
ARUSHA,Meru,Ngabobo,NGABOBO,236,10,24
ARUSHA,Meru,Kikatiti,CHEMCHEM,763,34,22
ARUSHA,Meru,Kikatiti,KIKATITI,855,58,15
ARUSHA,Meru,Kikatiti,NGYEKU,469,19,25
ARUSHA,Meru,Kikatiti,NKOAMANGASHA,280,12,23
ARUSHA,Meru,Kikatiti,SAKILA,468,15,31
ARUSHA,Meru,Kikatiti,SURUMALA,377,25,15
ARUSHA,Meru,Leguruki,KANDASHE,223,5,45
ARUSHA,Meru,Leguruki,MIRIRINI,319,9,35
ARUSHA,Meru,Leguruki,NESOIYA,404,8,51
ARUSHA,Meru,Leguruki,NKOASENGA,525,9,58
ARUSHA,Meru,Leguruki,SINAI,222,6,37
ARUSHA,Meru,Maruvango,LEGURUKI,325,9,36
ARUSHA,Meru,Maruvango,ETINGARE,403,16,25
ARUSHA,Meru,Maruvango,MARUANGO,631,11,57
ARUSHA,Meru,Maruvango,MBAASENY,316,8,40
ARUSHA,Meru,Maruvango,MOWARA,347,10,35
ARUSHA,Meru,Maruvango,SHISHTONY,222,7,32
ARUSHA,Meru,Maji ya chai,LERAI,254,16,16
ARUSHA,Meru,Maji ya chai,KIMANDAFU,293,17,17
ARUSHA,Meru,Maji ya chai,KITEFU,742,24,31
ARUSHA,Meru,Maji ya chai,MAJI YA CHAI,456,29,16
ARUSHA,Meru,Maji ya chai,NGURDOTO,692,20,35
ARUSHA,Meru,Maji ya chai,TUVAILA,824,37,22
ARUSHA,Meru,Imbaseni,IMBASENI,658,22,30
ARUSHA,Meru,Imbaseni,KIWAWA,370,19,19
ARUSHA,Meru,Imbaseni,NGONGONGARE,509,24,21
ARUSHA,Meru,Songoro,KILINGA,349,12,29
ARUSHA,Meru,Songoro,MULALA,339,14,24
ARUSHA,Meru,Songoro,SONGORO,413,12,34
ARUSHA,Meru,Songoro,SURA,295,8,37
ARUSHA,Meru,Songoro,USHILI,265,8,33
ARUSHA,Meru,Songoro,URISHO,473,13,36
ARUSHA,Meru,Nkoaranga,NGYANI,444,20,22
ARUSHA,Meru,Nkoaranga,NKOARANGA,388,15,26
ARUSHA,Meru,Nkoaranga,NSHUPU,430,28,15
ARUSHA,Meru,Nkoanekoli,NKOANEKOLI,261,15,17
ARUSHA,Meru,Nkoanekoli,SANGANANU,264,15,18
ARUSHA,Meru,Nkoarisambu,KIMUNDO,274,18,15
ARUSHA,Meru,Nkoarisambu,MFULONY,408,13,31
ARUSHA,Meru,Nkoarisambu,NDOOMBO,471,15,31
ARUSHA,Meru,Seela Sing'isi,SEELA,613,17,36
ARUSHA,Meru,Seela Sing'isi,SING'ISI,766,39,20
ARUSHA,Meru,Akheri,AKHERI,231,18,13
ARUSHA,Meru,Akheri,MAVINUNI,247,28,9
ARUSHA,Meru,Akheri,PATANDI,572,40,14
ARUSHA,Meru,Akheri,TENGERU,246,22,11
ARUSHA,Meru,Akheri,NGURUMA,454,19,24
ARUSHA,Meru,Poli,URAKI,665,32,21
ARUSHA,Meru,Poli,MAKUMIRA,361,25,14
ARUSHA,Meru,Poli,NKOAKIRIKA,309,13,24
ARUSHA,Meru,Poli,POLI,371,20,19
ARUSHA,Meru,Nkoanrua,NKOANRUA,446,17,26
ARUSHA,Meru,Nkoanrua,ULONG'A,571,13,44
ARUSHA,Meru,Ambureni,AMBURENI,779,34,23
ARUSHA,Meru,Ambureni,MOIVARO,716,37,19
ARUSHA,Meru,Usariver,KILIMANI,770,35,22
ARUSHA,Meru,Usariver,LEGANGA,963,38,25
ARUSHA,Meru,Usariver,MANYATA,274,12,23
ARUSHA,Meru,Usariver,USA RIVER,962,40,24
ARUSHA,Monduli,Engutoto,MLIMANI,256,19,13
ARUSHA,Monduli,Engutoto,NGARASH,494,19,26
ARUSHA,Monduli,Engutoto,OLARASH,306,13,24
ARUSHA,Monduli,Monduli juu,ELUWAI,287,9,32
ARUSHA,Monduli,Monduli juu,ENGUIKI,695,16,43
ARUSHA,Monduli,Monduli juu,IRMORIJO,291,7,42
ARUSHA,Monduli,Monduli juu,MONDULI JUU,640,15,43
ARUSHA,Monduli,Mfereji,MFEREJI,608,11,55
ARUSHA,Monduli,Sepeko,ARKARIA,214,6,36
ARUSHA,Monduli,Sepeko,ARKATANI,265,15,18
ARUSHA,Monduli,Sepeko,LENDIKINYA,540,15,36
ARUSHA,Monduli,Sepeko,MTI MMOJA,270,9,30
ARUSHA,Monduli,Lashaine,LASHAINE,365,18,20
ARUSHA,Monduli,Lashaine,ORKEESWA,360,14,26
ARUSHA,Monduli,Lepurko,ENG'AROOJI,206,7,29
ARUSHA,Monduli,Lepurko,ENGIRGIR,272,12,23
ARUSHA,Monduli,Lepurko,LEPURKO,310,10,31
ARUSHA,Monduli,Lepurko,LOSIMINGORI,420,9,47
ARUSHA,Monduli,Lepurko,NANJA,212,7,30
ARUSHA,Monduli,Meserani,LOOSINGIRANI,198,10,20
ARUSHA,Monduli,Meserani,MESERANI CHINI,292,7,42
ARUSHA,Monduli,Meserani,MESERANI JUU,632,15,42
ARUSHA,Monduli,Meserani,SOKOINE,253,13,19
ARUSHA,Monduli,Naalarami,NAALARAMI,345,7,49
ARUSHA,Monduli,Moita,KILIMATINDE,319,8,40
ARUSHA,Monduli,Moita,MOITA BWAWANI,452,9,50
ARUSHA,Monduli,Moita,MOITA KILORITI,420,8,53
ARUSHA,Monduli,Lolkisale,LOKISALE,617,12,51
ARUSHA,Monduli,Lolkisale,NAFCO,461,10,46
ARUSHA,Monduli,Lolkisale,NDUKUSI,342,8,43
ARUSHA,Monduli,Lemooti,LEMOOTI,326,6,54
ARUSHA,Monduli,Lemooti,LENGOLWA,295,8,37
ARUSHA,Monduli,Lemooti,LOOSIKITO,217,8,27
ARUSHA,Monduli,Mswakini,MSWAKINI,391,10,39
ARUSHA,Monduli,Mswakini,MSWAKINI JUU,382,9,42
ARUSHA,Monduli,Mswakini,NAITOLIA,395,10,40
ARUSHA,Monduli,Makuyuni,MAKUYUNI,812,17,48
ARUSHA,Monduli,Makuyuni,MANYARA RANCH,893,19,47
ARUSHA,Monduli,Makuyuni,MBUYUNI,490,14,35
